"","V1","V2","V3","V4","V5","V6","V7"
"195",1,1,294,0,0,2006,0
"196",1,2,369,0,0,2004,1780
"197",1,0,0,0,0,0,0
"198",5,2,317,315,0,2005,2564
"199",1,2,355,377,262,2009,2581
"200",1,1,368,0,0,2006,2881
"201",2,1,375,0,0,2005,1427
"202",1,1,309,311,329,2009,2135
"203",1,2,300,298,283,2006,2041
"204",1,1,292,383,0,2005,2779
"205",2,2,0,0,0,0,50293
"206",1,2,327,367,276,2007,2305
"207",1,1,314,342,0,2006,2753
"208",1,1,0,0,131,2008,1438
"209",1,1,300,0,264,2009,2353
"210",2,1,329,386,0,2005,1912
"211",1,0,0,0,0,0,0
"212",1,1,292,293,0,2006,2926
"213",1,2,319,348,0,2006,1734
"214",1,1,300,316,0,2009,2741
"215",1,0,316,0,0,2006,0
"216",1,2,319,0,0,2005,1486
"217",1,0,0,0,0,0,0
"218",1,1,348,298,318,2008,2275
"219",1,1,348,0,198,2007,1429
"220",2,2,328,0,0,2005,0
"221",1,2,298,0,261,2009,2881
"222",1,1,317,0,0,2007,2054
"223",1,1,316,0,0,0,2198
"224",1,2,300,0,0,2008,2702
"225",2,1,382,0,0,2005,52730
"226",1,2,314,383,0,2007,1320
"227",1,1,309,340,0,2008,3118
"228",1,1,341,355,139,2008,2849
"229",1,1,292,0,273,2009,2573
"230",2,1,314,298,0,2004,9146
"231",2,2,368,0,0,2003,2617
"232",2,1,355,0,0,0,2995
"233",1,2,298,0,145,2008,55170
"234",1,2,315,0,0,2009,1617
"235",1,1,297,0,324,2006,1267
"236",1,1,341,0,258,0,56377
"237",1,2,367,391,0,2007,0
"238",1,1,368,0,0,0,1741
"239",1,1,314,351,261,2009,2414
"240",1,2,327,0,267,2008,50529
"241",1,2,0,0,259,2009,2871
"242",1,2,308,0,0,2007,16621
"243",1,1,341,0,0,2008,0
"244",1,2,308,367,265,2008,1950
"245",1,2,317,0,0,2008,1545
"246",1,2,317,0,270,2009,53663
"247",1,2,293,342,0,2006,51089
"248",1,2,319,0,0,0,0
"249",1,1,341,368,272,2009,2767
"250",1,2,355,0,357,2008,2747
"251",1,2,340,314,0,2006,14359
"252",1,1,355,387,0,2009,1697
"253",1,2,317,298,0,2006,1960
"254",1,2,329,0,0,2006,1694
"255",2,1,355,0,0,2004,2152
"256",1,2,341,0,263,2009,0
"257",1,1,314,0,0,2007,2664
"258",1,1,367,0,0,2007,2608
"259",1,1,319,357,234,2006,2241
"260",1,2,308,0,323,2008,25934
"261",1,0,0,0,0,0,0
"262",1,2,308,0,0,2006,2335
"263",1,1,366,377,0,2006,1762
"264",1,1,340,0,267,2009,2122
"265",1,2,298,363,351,2010,50846
"266",1,2,298,350,0,2007,2426
"267",1,1,357,291,263,2009,0
"268",1,2,367,340,0,2007,2234
"269",1,2,367,383,362,2006,2714
"270",1,2,355,343,0,2007,0
"271",1,1,0,0,265,2009,1974
"272",1,2,298,314,0,2008,52304
"273",1,2,319,381,345,2006,0
"274",2,1,368,349,0,2005,2291
"275",1,2,313,341,345,0,0
"276",1,0,341,368,0,0,0
"277",1,2,314,329,273,2009,0
"278",1,1,368,350,0,2007,1606
"279",1,2,340,0,294,2007,50353
"280",2,2,355,0,0,2003,20700
"281",1,1,314,298,273,2009,2375
"282",1,2,365,0,235,2008,2871
"283",1,1,369,0,0,0,0
"284",1,2,319,0,263,2009,2672
"285",2,1,371,391,0,2005,1333
"286",1,1,294,329,273,2008,2730
"287",1,1,367,0,0,2007,2257
"288",1,2,367,298,0,2006,1320
"289",1,1,294,0,0,2006,1965
"290",1,2,0,0,0,2008,50975
"291",1,1,329,0,263,2009,3004
"292",1,1,387,314,141,2008,2561
"293",1,1,329,362,220,2006,0
"294",1,0,0,0,0,0,0
"295",1,0,0,0,0,0,0
"296",1,0,337,367,0,2006,3243
"297",1,0,0,0,0,0,0
"298",1,1,375,0,0,2007,1632
"299",1,2,353,313,0,2008,1654
"300",1,1,341,0,0,2006,50541
"301",1,2,387,0,258,2009,0
"302",1,1,374,0,323,2008,2216
"303",1,1,347,0,0,2007,2902
"304",1,1,382,352,270,2008,1778
"305",1,1,350,298,0,2008,2702
"306",1,2,0,0,329,2008,3003
"307",1,1,356,0,0,2005,2227
"308",1,1,388,382,341,2007,2667
"309",1,1,290,298,0,0,0
"310",1,1,329,294,329,2008,1719
"311",1,1,368,343,0,2007,2824
"312",1,1,350,368,265,2009,50081
"313",5,0,0,0,0,0,0
"314",1,1,293,359,323,2008,1438
"315",1,1,315,0,0,2008,50165
"316",1,2,319,0,0,2006,0
"317",1,1,359,379,215,0,1444
"318",1,2,319,389,323,2008,50055
"319",1,2,329,357,0,0,1473
"320",1,2,316,0,257,2009,0
"321",1,1,310,360,0,2006,3052
"322",1,1,328,355,0,2007,54870
"323",1,1,382,309,0,2008,0
"324",1,0,0,0,0,0,0
"325",1,1,300,328,0,2008,5486
"326",2,1,375,0,0,2005,2905
"327",1,0,0,0,0,0,0
"328",1,2,298,0,0,2005,2198
"329",1,1,360,0,256,2009,3117
"330",1,2,375,0,0,2006,0
"331",1,1,292,0,0,2006,1344
"332",1,2,306,0,0,2008,2413
"333",1,1,314,350,0,2008,1736
"334",1,2,309,337,0,2005,50353
"335",1,1,0,0,0,2009,2422
"336",1,1,292,0,0,2005,0
"337",1,1,292,0,269,2009,50215
"338",2,2,355,0,0,2004,3058
"339",1,2,298,316,264,2009,1279
"340",1,1,352,314,0,2006,0
"341",1,1,306,293,331,2006,2505
"342",1,1,353,301,319,2007,1607
"343",1,1,0,0,0,2007,24013
"344",1,1,355,367,265,2009,1596
"345",1,2,316,0,345,2007,0
"346",1,2,0,0,258,2009,2695
"347",2,1,298,296,0,2004,8263
"348",1,2,298,0,270,2009,1963
"349",1,1,0,0,129,2008,2323
"350",1,0,0,0,0,0,0
"351",2,2,319,0,0,2001,0
"352",2,2,367,0,0,2005,0
"353",1,1,0,0,0,2007,2195
"354",1,1,294,293,345,2005,0
"355",1,1,298,314,0,2007,1595
"356",1,2,387,0,352,2008,1595
"357",2,1,355,0,0,2000,56377
"358",1,2,331,382,219,2007,1730
"359",1,2,366,0,0,2005,2669
"360",1,2,317,0,296,2008,2617
"361",1,2,0,0,270,2008,3052
"362",1,2,366,377,171,0,758
"363",2,2,355,0,0,2002,50353
"364",1,2,367,371,271,2007,2190
"365",1,1,298,0,0,2007,2248
"366",1,1,298,0,199,2007,50521
"367",1,2,355,306,0,2008,16530
"368",1,1,0,0,214,0,0
"369",1,2,390,298,0,2009,51919
"370",1,1,342,369,0,2007,51145
"371",1,1,368,355,0,2006,2422
"372",1,2,292,0,0,2007,0
"373",1,1,291,375,0,2007,2414
"374",1,2,355,0,180,2005,3097
"375",2,1,311,374,0,2005,1289
"376",1,1,294,293,0,2007,0
"377",2,2,306,308,0,2002,0
"378",1,2,317,0,0,2007,3058
"379",2,1,340,0,0,2005,0
"380",2,2,374,0,0,2005,3058
"381",1,2,341,0,0,2007,1477
"382",1,1,341,368,322,2008,2766
"383",1,1,381,380,358,2004,863
"384",1,1,298,303,0,2008,2325
"385",1,2,355,390,0,2007,2599
"386",1,0,0,0,0,0,0
"387",1,1,357,0,0,0,0
"388",1,1,348,367,261,2008,2605
"389",1,1,298,314,0,2007,2780
"390",1,1,355,354,0,2008,2763
"391",1,2,297,365,0,2004,0
"392",1,2,298,0,0,2008,1292
"393",1,2,348,337,0,2010,2272
"394",1,1,350,0,266,2009,52088
"395",1,1,368,0,351,0,2869
"396",1,1,298,367,273,2009,1543
"397",1,2,319,0,324,2008,52304
"398",1,2,317,351,128,2008,1310
"399",2,0,375,0,0,2003,1287
"400",1,2,340,0,272,2009,1320
"401",2,2,314,0,0,2004,0
"402",1,1,368,0,0,2005,1384
"403",1,2,0,0,0,0,0
"404",2,1,348,374,0,2005,2438
"405",1,1,382,0,194,0,2233
"406",1,1,298,0,257,2009,1594
"407",1,0,0,0,0,0,0
"408",1,2,368,374,0,0,2052
"409",2,1,367,0,0,2005,2960
"410",1,1,355,0,0,2006,2331
"411",1,0,0,0,0,0,0
"412",1,2,0,0,0,2009,2661
"413",1,2,340,0,0,2007,52131
"414",2,0,298,0,0,0,50353
"415",1,1,390,343,273,2009,2779
"416",1,1,314,0,0,2006,1451
"417",1,2,0,0,0,2008,0
"418",1,2,0,0,172,0,2917
"419",1,1,368,348,269,2009,3009
"420",1,1,367,329,0,2008,3043
"421",1,2,298,391,267,2007,1596
"422",1,0,367,0,0,2006,50622
"423",1,1,367,0,0,2007,2070
"424",5,2,316,0,0,2008,4481
"425",1,2,0,0,304,0,50152
"426",1,0,0,0,0,0,0
"427",1,2,316,0,273,2009,50261
"428",1,1,329,316,0,2009,1552
"429",1,2,306,0,256,2009,2677
"430",1,1,0,0,0,0,2596
"431",1,0,0,0,0,0,0
"432",5,0,0,0,0,0,0
"433",1,1,327,0,324,2006,2028
"434",1,1,351,0,0,2008,1982
"435",1,1,350,377,312,2006,2700
"436",1,2,391,0,0,0,0
"437",1,1,367,0,0,2006,2292
"438",1,2,327,0,0,2006,1608
"439",1,2,319,0,0,2009,2760
"440",2,1,298,0,0,2005,2867
"441",1,2,340,0,271,2007,2869
"442",1,2,340,0,287,2008,50356
"443",1,1,366,0,259,2005,2197
"444",1,0,0,0,0,0,0
"445",1,2,349,0,0,2006,2443
"446",1,0,308,0,0,2006,0
"447",2,1,316,0,0,2005,25829
"448",1,2,319,0,266,2006,2749
"449",1,1,314,0,0,2007,0
"450",1,2,390,0,263,2009,52562
"451",1,2,292,0,0,2007,1382
"452",4,2,0,0,0,0,2702
"453",1,2,316,0,141,2007,2753
"454",1,2,317,0,0,2007,2041
"455",1,0,311,314,0,2006,0
"456",1,1,355,0,145,2008,1803
"457",1,2,365,0,0,2006,0
"458",2,1,368,0,0,2005,2608
"459",1,2,319,317,258,2009,1803
"460",1,1,375,298,0,2005,2844
"461",2,2,298,314,0,2005,2849
"462",1,1,355,0,260,2008,1783
"463",1,0,0,0,0,0,15903
"464",2,1,355,294,0,2004,2505
"465",1,1,298,314,0,2009,2609
"466",1,1,289,371,0,2007,0
"467",1,2,327,326,0,2007,1525
"468",2,1,367,376,0,2005,1473
"469",1,2,367,368,300,2006,50028
"470",1,0,0,0,0,0,0
"471",1,1,355,390,264,2009,50864
"472",2,1,355,0,0,2004,1763
"473",1,1,367,329,272,2009,1734
"474",1,2,341,379,0,2008,50741
"475",1,2,306,0,0,2008,1385
"476",1,0,368,0,0,2006,1951
"477",1,2,341,361,0,2007,1730
"478",1,0,0,0,0,0,0
"479",1,2,355,0,144,2007,50261
"480",4,0,0,0,0,0,0
"481",1,1,367,348,315,2008,2541
"482",1,2,319,365,0,2006,1473
"483",1,1,371,350,0,2008,2736
"484",1,2,0,0,258,2009,50864
"485",1,2,333,298,0,2005,2805
"486",1,0,0,0,0,0,0
"487",1,1,350,375,0,2006,1736
"488",1,1,293,0,138,2006,0
"489",1,0,0,0,0,0,0
"490",1,1,341,0,0,2007,1451
"491",2,2,340,0,0,2005,3007
"492",1,2,314,0,0,2005,3049
"493",2,1,314,368,195,2003,1736
"494",1,2,327,0,178,2006,1800
"495",2,1,367,0,0,2005,2670
"496",1,1,350,368,263,0,2667
"497",1,0,0,0,0,0,3118
"498",1,2,327,0,261,2008,1638
"499",1,2,363,393,0,2007,1803
"500",1,2,355,368,0,2005,2767
"501",4,2,0,0,0,0,20362
"502",1,2,298,0,0,2006,24915
"503",1,1,355,297,263,2009,2747
"504",2,2,375,0,0,2005,1902
"505",1,1,355,303,0,2007,1274
"506",1,0,0,0,0,0,0
"507",1,1,379,0,0,2008,2079
"508",1,1,301,0,237,2007,1912
"509",1,2,367,0,261,2009,9224
"510",1,0,0,0,0,0,1320
"511",2,1,342,377,0,2004,2845
"512",1,1,327,0,321,2006,1267
"513",4,2,0,0,0,0,0
"514",1,1,355,314,264,2009,2972
"515",1,1,350,333,319,2008,2348
"516",1,1,317,0,0,2008,2754
"517",2,1,300,0,0,2005,2813
"518",1,1,327,0,0,0,50225
"519",1,2,341,0,263,2009,2756
"520",1,2,0,0,181,2006,50015
"521",1,1,292,0,323,2008,1490
"522",2,2,355,0,307,2005,1667
"523",1,1,368,324,259,2009,1828
"524",1,1,291,299,260,2009,50254
"525",1,1,298,381,0,2008,2749
"526",1,1,298,0,341,2008,2077
"527",1,2,290,0,311,2007,2291
"528",1,2,367,0,0,2007,0
"529",1,1,307,0,0,2006,748
"530",1,1,374,0,131,2007,2157
"531",1,1,385,329,0,2009,50215
"532",1,2,301,329,266,2009,2823
"533",1,1,317,0,141,2008,2340
"534",1,1,368,341,0,2006,3012
"535",2,1,342,0,0,2005,1736
"536",1,1,355,0,0,2007,2832
"537",1,2,316,0,0,2007,1734
"538",1,2,315,0,268,2008,1465
"539",1,1,341,0,0,2005,1382
"540",2,2,327,322,0,2005,0
"541",1,1,316,0,260,2009,1963
"542",1,1,341,0,269,2009,1732
"543",1,0,0,0,0,0,0
"544",1,1,314,367,0,2006,0
"545",1,2,367,391,0,2006,1372
"546",1,0,0,0,0,0,1552
"547",1,2,307,0,0,2006,51216
"548",1,0,0,0,0,0,0
"549",1,1,317,322,193,2005,2664
"550",1,0,0,0,0,2005,2702
"551",1,2,315,0,0,2008,2068
"552",1,2,0,0,273,2009,1379
"553",1,2,298,0,0,2008,51520
"554",1,2,298,0,0,2008,1666
"555",1,1,309,0,266,2009,2972
"556",1,1,367,329,0,2008,1898
"557",1,2,319,0,289,2006,1552
"558",1,1,341,0,0,2006,2591
"559",1,1,293,304,0,2007,0
"560",2,1,367,371,0,2004,2340
"561",1,1,347,377,0,2007,0
"562",1,2,329,0,260,2009,2670
"563",1,2,314,301,0,2007,4281
"564",1,1,298,368,0,2009,60207
"565",1,1,368,0,0,2007,0
"566",1,2,367,390,0,2006,26383
"567",1,1,350,367,0,2007,2780
"568",1,2,329,343,0,2006,2811
"569",1,2,319,0,0,2006,2753
"570",1,1,367,0,334,2008,0
"571",2,2,314,0,0,2004,2760
"572",1,1,350,348,0,2006,1429
"573",1,1,342,0,0,2007,20577
"574",1,2,0,0,0,2008,2325
"575",1,2,326,0,0,2007,0
"576",1,2,355,0,257,2009,2557
"577",1,2,0,0,0,2007,51225
"578",1,0,0,0,0,0,0
"579",2,1,368,338,0,2004,2747
"580",1,1,297,0,0,2007,2442
"581",2,2,319,314,0,2004,50152
"582",1,2,367,377,273,2009,2734
"583",2,2,316,298,0,2004,1996
"584",5,1,393,0,0,2005,55923
"585",2,2,367,0,0,2005,0
"586",1,2,0,0,0,2008,1384
"587",1,1,349,376,0,2007,2205
"588",1,1,368,0,0,2007,1909
"589",1,2,390,0,259,2009,0
"590",1,1,301,382,324,2007,15864
"591",1,1,350,0,138,2006,2072
"592",1,1,353,0,324,2008,2193
"593",1,1,387,0,328,2008,1606
"594",1,1,374,302,341,2006,1654
"595",1,1,374,368,322,2007,2048
"596",1,1,301,0,0,2007,2674
"597",1,1,368,0,0,2008,23341
"598",1,1,300,328,193,2007,15897
"599",1,0,0,0,0,0,0
"600",1,1,290,0,197,2007,50293
"601",1,1,351,0,224,2005,1279
"602",1,2,327,296,0,2005,2690
"603",1,1,341,293,0,2008,2593
"604",1,0,0,0,0,0,0
"605",1,0,359,0,323,2008,2896
"606",1,2,390,0,270,2009,1617
"607",1,2,353,0,256,2009,1733
"608",1,2,365,352,262,2009,2731
"609",2,2,306,376,0,2004,50058
"610",1,1,355,0,0,2008,2868
"611",1,1,349,290,0,2008,1506
"612",1,2,351,363,0,2007,0
"613",1,2,309,0,266,2009,1714
"614",1,1,0,0,0,2008,2786
"615",1,2,0,0,262,2009,50257
"616",1,2,0,0,0,2008,53459
"617",1,0,0,0,0,0,0
"618",1,2,317,0,324,2007,2973
"619",2,2,351,0,0,2004,50028
"620",1,1,382,0,0,2008,2585
"621",1,1,368,0,0,2007,1795
"622",1,2,300,0,0,2008,2670
"623",1,1,0,0,270,2009,50556
"624",1,1,390,382,0,2007,2795
"625",1,2,291,334,0,2008,2233
"626",4,2,0,0,0,0,0
"627",1,1,298,368,0,2007,1935
"628",1,1,355,0,0,2007,2702
"629",2,2,368,298,0,2004,1272
"630",1,2,355,368,0,2006,18158
"631",1,0,0,0,0,0,0
"632",1,1,390,0,261,2009,2561
"633",1,1,298,377,143,2008,2590
"634",2,2,298,0,0,2003,1274
"635",1,0,0,0,0,0,0
"636",1,0,0,0,0,0,0
"637",1,2,298,0,0,2007,2193
"638",1,1,0,0,0,2008,2335
"639",1,1,346,390,260,2009,59524
"640",2,2,0,0,0,0,2198
"641",1,2,355,314,0,2006,50055
"642",1,1,360,386,0,0,2052
"643",1,2,317,0,0,2008,1634
"644",1,2,334,381,270,2008,4416
"645",1,2,0,0,0,2007,2670
"646",1,1,367,377,0,2005,2271
"647",1,0,0,0,0,0,0
"648",1,0,297,338,0,0,2803
"649",1,2,302,329,0,2006,2505
"650",1,2,300,0,257,2009,3527
"651",1,2,367,391,259,2009,1946
"652",1,1,0,0,138,2006,2208
"653",1,2,365,351,0,0,2277
"654",1,1,0,0,257,2009,2381
"655",1,1,340,367,0,2008,1433
"656",1,0,331,0,0,2005,2327
"657",1,2,365,333,258,0,2701
"658",2,1,314,334,189,2005,1279
"659",1,1,360,0,323,2006,5488
"660",1,2,314,341,323,2006,1487
"661",2,2,355,0,0,2004,2327
"662",1,1,329,369,0,0,0
"663",1,1,357,0,0,2010,0
"664",1,2,294,0,0,0,8644
"665",1,2,340,0,0,2005,1632
"666",2,1,366,0,195,2004,2951
"667",2,1,367,354,0,2005,50812
"668",2,2,297,365,0,2004,0
"669",1,2,344,303,0,2009,1490
"670",1,1,367,368,0,2006,2232
"671",1,1,0,0,257,2009,50001
"672",1,2,316,0,0,2008,2505
"673",1,0,0,0,0,0,0
"674",1,2,355,378,219,2006,2811
"675",1,2,341,0,0,0,1617
"676",2,1,290,0,0,2005,3030
"677",1,0,0,0,0,0,0
"678",1,1,294,0,0,2007,0
"679",1,0,0,0,0,0,0
"680",1,0,0,0,288,0,0
"681",1,1,363,0,0,2007,51796
"682",1,2,342,298,333,2007,18106
"683",5,2,317,0,0,2006,1279
"684",1,1,355,0,0,2007,50210
"685",1,2,355,368,276,2006,16621
"686",1,2,316,0,0,2006,2233
"687",1,2,315,0,256,2009,2868
"688",1,0,0,0,0,0,0
"689",1,1,340,342,0,2007,3029
"690",1,1,317,0,0,2008,9147
"691",1,1,357,294,0,0,1795
"692",5,0,0,0,0,0,0
"693",1,1,0,0,259,2009,1694
"694",1,1,292,0,273,2009,1384
"695",1,2,340,379,331,2006,0
"696",2,2,355,0,0,2004,2291
"697",1,1,331,0,0,2008,1594
"698",1,2,355,319,132,2008,1996
"699",2,2,319,0,0,2003,0
"700",1,1,0,0,256,2009,2702
"701",1,1,375,368,198,2006,50157
"702",1,2,367,0,0,0,1734
"703",2,2,306,357,0,2005,1734
"704",1,2,323,0,0,2009,2972
"705",1,1,292,383,0,2008,1734
"706",1,1,298,0,0,2009,60207
"707",1,2,298,0,0,2007,1490
"708",1,2,292,0,339,2008,1506
"709",1,2,314,0,262,2009,2572
"710",2,1,0,0,189,2002,1274
"711",1,2,319,0,269,2009,1287
"712",1,0,0,0,0,2007,50058
"713",1,1,329,350,0,2007,1419
"714",5,0,0,0,0,0,0
"715",1,2,314,366,0,2007,50541
"716",1,1,368,379,0,0,2747
"717",2,1,340,0,0,2004,2599
"718",1,2,348,0,0,2007,3016
"719",2,1,314,0,0,2005,0
"720",2,2,0,0,0,2004,0
"721",1,1,368,0,0,2007,50054
"722",1,1,329,368,269,2009,2754
"723",1,1,341,291,336,2006,1587
"724",1,2,366,0,328,0,2849
"725",1,1,300,0,256,2008,2443
"726",1,1,314,375,323,2007,2702
"727",2,1,317,352,191,2004,22552
"728",1,0,388,0,0,2006,0
"729",1,2,341,357,273,2009,0
"730",1,2,327,0,0,2005,1462
"731",1,1,368,329,0,2005,2695
"732",1,1,355,0,265,2009,1487
"733",5,2,351,0,0,0,0
"734",1,2,317,0,0,2007,0
"735",1,1,355,291,0,2005,0
"736",2,2,374,291,0,2005,2097
"737",1,1,353,0,0,2005,0
"738",1,2,390,342,0,2006,2021
"739",1,1,333,0,339,0,53478
"740",1,1,329,314,0,2007,2702
"741",1,1,350,367,0,2007,0
"742",1,1,391,0,0,2008,2716
"743",1,2,0,0,131,2008,3007
"744",1,2,298,345,0,2008,1552
"745",1,1,309,0,362,2007,50157
"746",1,1,355,351,263,2009,1514
"747",1,2,355,0,258,2009,2764
"748",1,2,366,382,0,2006,1734
